ACCX,GYRX,ACCY,GYRY,ACCZ,GYRZ
16668,65179,65508,148,63328,23
16568,65167,65492,137,63172,20
16656,65170,65532,131,63296,24
16736,65170,65444,143,63312,3
16704,65164,65524,165,63260,37
16652,65197,65448,141,63216,18
16716,65158,65336,171,63204,6
16648,65170,65508,119,63384,30
16720,65164,65528,138,63240,31
16456,65172,65520,148,63292,27
16808,65184,32,129,63344,51
16776,65158,65504,160,63176,41
16664,65167,48,123,63204,20
16684,65174,40,142,63100,12
16684,65174,0,173,63268,19
16652,65192,65516,140,63344,54
16628,65182,65468,135,63368,39
16704,65159,65524,140,63384,41
16904,65168,65532,138,63208,22
16744,65173,16,131,63388,41
16792,65166,65516,177,63260,43
16648,65180,65440,138,63156,36
16764,65179,65516,174,63248,40
16692,65160,80,131,63260,41
16720,65176,65432,144,63200,44
16616,65170,65516,138,63276,17
16660,65171,65520,142,63300,47
16684,65158,24,141,63324,51
16736,65174,56,169,63160,53
16672,65158,65500,156,63244,41
16628,65164,65440,148,63340,43
16608,65171,65432,143,63256,49
16772,65155,65464,145,63372,24
16820,65146,65444,167,63236,40
16676,65156,65464,137,63252,37
16784,65170,65516,144,63368,64
16756,65176,65456,158,63244,13
16552,65154,65456,151,63332,35
16672,65184,65444,128,63228,60
16680,65172,0,164,63120,25
16728,65185,65448,123,63320,29
16684,65170,65492,158,63268,53
16704,65160,4,152,63192,31
16792,65164,65444,159,63228,40
16664,65170,4,155,63188,47
16688,65183,65516,133,63308,65
16724,65159,16,125,63284,53
16736,65158,65412,149,63188,23
16704,65176,16,163,63228,55
16776,65178,65496,148,63204,54
16748,65162,65496,122,63272,36
16648,65154,65528,139,63080,56
16700,65176,65492,150,63444,46
16752,65164,65444,155,63376,34
16644,65192,65484,155,63216,44
16672,65181,65468,150,63180,51
16688,65175,188,108,63232,42
16804,65177,44,137,63188,21
16676,65149,65448,127,63316,34
16604,65158,20,160,63172,21
16520,65172,65504,128,63272,61
16860,65164,12,135,63336,14
16768,65153,16,146,63312,19
16700,65169,65516,159,63320,28
16640,65174,65444,142,63328,47
16628,65148,65456,155,63200,25
16672,65168,65504,129,63228,30
16720,65169,65504,154,63316,65529
16620,65170,65504,138,63284,47
16684,65141,65504,144,63188,65530
16724,65181,65532,147,63344,29
16724,65178,28,132,63308,19
16724,65162,65472,136,63192,33
16524,65164,65512,130,63268,30
16712,65182,65512,153,63288,23
16616,65163,28,141,63292,31
16620,65148,65476,150,63208,42
16772,65172,65416,158,63336,35
16688,65170,65460,163,63280,34
16528,65170,65516,138,63228,34
16812,65178,65384,117,63196,64
16580,65160,32,132,63132,57
16704,65155,65520,121,63332,69
16644,65186,65524,129,63344,75
16708,65194,65460,163,63180,26
16708,65142,65468,147,63172,26
16644,65164,24,155,63236,33
16752,65175,12,127,63340,21
16556,65172,65464,127,63204,29
16564,65159,65524,149,63232,25
16688,65183,65480,145,63204,27
16716,65175,65504,182,63264,50
16760,65172,65492,157,63280,42
16744,65151,65512,143,63392,40
16608,65168,65532,143,63356,47
16668,65166,65508,152,63384,44
16684,65171,65488,170,63356,34
16732,65160,24,163,63308,70
16588,65162,65520,144,63236,35
16604,65166,4,136,63260,19
16676,65174,65496,134,63328,50
16616,65165,65444,137,63164,47
16736,65161,36,165,63172,59
16668,65176,65500,140,63348,46
16660,65156,65508,120,63048,47
16680,65156,65440,135,63060,35
16704,65175,65520,151,63464,46
16688,65172,65516,126,63296,28
16688,65145,65520,142,63280,48
16656,65162,65480,135,63172,66
16772,65151,65532,165,63160,39
16660,65165,65328,160,63148,46
16748,65176,65500,162,63312,22
16696,65151,65492,135,63280,13
16772,65184,65488,134,63348,39
16608,65167,65452,141,63188,41
16636,65182,80,137,63192,33
16632,65164,65460,137,63384,65519
16692,65167,65528,142,63184,29
16704,65174,36,160,63360,22
16732,65176,65432,107,63300,23
16800,65178,65468,156,63220,46
16748,65172,65504,156,63184,35
16728,65164,12,143,63312,24
16708,65157,65488,142,63244,14
16656,65154,65412,170,63236,17
16608,65144,65508,147,63416,29
16656,65171,65492,155,63128,8
16640,65183,65496,133,63220,38
16680,65159,65440,155,63224,42
16812,65169,44,118,63252,34
16604,65172,65496,124,63192,49
16700,65169,65480,156,63220,26
16744,65160,65444,138,63236,36
16668,65158,65520,130,63276,40
16628,65188,32,159,63216,47
16668,65174,65528,153,63332,47
16728,65166,65476,186,63284,20
16584,65166,12,145,63276,31
16744,65158,65508,141,63348,42
16644,65150,65484,144,63080,18
16804,65166,4,151,63436,48
16648,65172,65416,174,63344,42
16564,65165,65460,110,63208,17
16656,65144,65532,154,63220,0
16704,65158,65512,136,63360,34
16644,65149,12,152,63380,10
16700,65180,4,142,63248,41
16768,65172,65488,130,63372,43
16616,65146,65508,146,63228,44
16696,65164,65484,142,63180,22
16804,65160,4,129,63344,47
16608,65176,72,140,63176,28
16576,65161,65480,144,63168,28
16620,65180,65448,138,63244,30
16584,65180,65464,141,63304,24
16668,65185,65428,163,63240,9
16700,65170,65520,148,63296,35
16712,65181,65484,154,63304,19
16696,65154,65500,148,63260,19
16668,65158,65444,150,63172,26
16732,65196,65440,173,63328,5
16684,65180,65452,131,63220,58
16648,65150,65516,125,63304,46
16728,65161,65424,133,63212,64
16640,65176,65456,148,63192,50
16704,65164,65456,161,63304,45
16708,65169,72,141,63308,61
16716,65171,65528,157,63116,48
16668,65160,65492,146,63220,51
16644,65170,65468,146,63152,42
16784,65181,65496,144,63240,40
16668,65162,65500,174,63136,42
16696,65156,65516,157,63340,31
16688,65179,12,138,63224,35
16656,65178,65396,129,63332,38
16712,65174,65460,129,63408,21
16672,65174,65496,161,63172,32
16692,65160,12,125,63272,30
16728,65167,44,172,63224,19
16644,65161,16,136,63316,31
16696,65171,65468,145,63216,22
16692,65158,65496,154,63252,35
16700,65181,65488,159,63200,27
16684,65169,65420,159,63188,47
16716,65175,65496,138,63200,27
16700,65165,65516,142,63216,59
16644,65140,65468,127,63240,31
16652,65169,236,146,63264,27
16672,65167,65308,155,63144,11
16636,65158,64,142,63300,60
16744,65171,44,176,63176,33
16736,65175,65484,133,63188,10
16648,65174,65524,141,63316,53
16764,65156,65400,139,63356,42
10752,65135,63636,63866,61876,700
19308,65143,260,174,64948,221
17420,65173,65512,496,64336,180
17396,65159,65492,393,64068,40
